"id";"1_Total";"1_Partner";"1_Children";"1_All";"2_Total";"2_Partner";"2_Children";"2_All";"3_Total";"3_Partner";"3_Children";"3_All";"10_Total";"10_Partner";"10_Children";"10_All";"20_Total";"20_Partner";"20_Children";"20_All";"30_Total";"30_Partner";"30_Children";"30_All";"35_Total";"35_Partner";"35_Children";"35_All";"40_Total";"40_Partner";"40_Children";"40_All";"50_Total";"50_Partner";"50_Children";"50_All";"60_Total";"60_Partner";"60_Children";"60_All";"70_Total";"70_Partner";"70_Children";"70_All";"80_Total";"80_Partner";"80_Children";"80_All";"90_Total";"90_Partner";"90_Children";"90_All";"95_Total";"95_Partner";"95_Children";"95_All";"3800_total";"3800_Partner";"3800_Children";"3800_All"
807312;610;610;0;0;85;40;0;0;50;10;0;0;0;0;0;0;0;0;0;0;70;40;0;0;0;0;0;0;0;0;0;0;60;50;0;0;130;30;0;0;155;0;0;0;140;140;0;0;140;0;0;0;0;0;0;0;0;0;0;0
807391;320;0;0;0;100;80;0;0;20;0;0;0;0;0;0;0;0;0;0;0;50;40;0;0;0;0;0;0;0;0;0;0;160;160;0;0;30;0;0;0;40;0;0;0;460;450;0;0;260;90;0;0;0;0;0;0;0;0;0;0
807403;450;450;0;0;80;0;0;0;20;0;0;0;650;650;0;0;0;0;0;0;110;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;90;0;0;0;40;0;0;0;0;0;0;0;0;0;0;0
807409;630;0;0;0;130;100;0;0;20;0;0;0;0;0;0;0;270;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;270;270;0;0;110;50;0;0;0;0;0;0;10;0;0;0;0;0;0;0
807427;160;160;0;0;90;90;0;0;50;0;0;10;500;500;0;0;0;0;0;0;45;5;0;40;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;15;5;0;0;40;0;0;0;0;0;0;0;40;0;0;40
807522;480;480;0;0;70;0;0;0;30;0;0;0;240;240;0;0;180;0;0;0;0;0;0;0;0;0;0;0;70;40;0;0;290;290;0;0;0;0;0;0;0;0;0;0;10;0;0;0;70;50;0;0;0;0;0;0;0;0;0;0
807568;500;500;0;0;25;0;0;0;20;0;0;0;500;500;0;0;0;0;0;0;60;0;0;0;0;0;0;0;0;0;0;0;25;0;0;0;0;0;0;0;65;0;0;0;175;0;0;0;40;0;0;0;30;0;0;0;0;0;0;0
807580;600;590;0;0;120;0;0;0;40;0;0;0;0;0;0;0;0;0;0;0;490;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;190;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
807598;200;200;0;0;100;30;0;70;30;0;0;0;0;0;0;0;0;0;0;0;405;20;0;165;0;0;0;0;40;0;0;30;10;0;0;10;0;0;0;0;25;0;0;25;250;160;0;80;70;10;0;20;30;10;0;10;140;20;0;120
807644;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
807720;260;260;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;30;0;0;0;0;0;0
807723;490;0;0;0;60;55;0;0;70;0;0;0;530;0;0;0;0;0;0;0;75;45;0;0;0;0;0;0;0;0;0;0;10;10;0;0;0;0;0;0;30;30;0;0;100;95;0;0;55;15;0;0;20;10;0;0;10;10;0;0
807733;560;550;0;0;140;110;0;0;130;30;0;0;0;0;0;0;215;140;0;0;20;0;0;0;0;0;0;0;0;0;0;0;30;15;0;0;0;0;0;0;65;15;0;0;100;90;0;0;150;20;0;0;30;0;0;0;0;0;0;0
807812;750;750;0;0;80;50;0;0;90;0;0;0;0;0;0;0;0;0;0;0;140;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;60;0;0;0;320;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
807852;300;300;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
807974;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
807983;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
808071;395;395;0;0;110;110;0;0;20;0;0;0;0;0;0;0;0;0;0;0;200;20;0;0;0;0;0;0;0;0;0;0;30;20;0;0;0;0;0;0;150;150;0;0;310;180;0;0;0;0;0;0;135;135;0;0;0;0;0;0
808175;60;60;0;0;10;0;0;0;0;0;0;0;410;410;0;0;0;0;0;0;30;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0
808197;350;330;0;0;80;80;0;0;30;0;0;30;435;435;0;0;0;0;0;0;20;0;0;0;0;0;0;0;0;0;0;0;20;0;0;0;0;0;0;0;75;45;0;0;190;70;0;0;20;0;0;0;0;0;0;0;0;0;0;0
808221;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
808236;460;450;0;0;100;100;0;0;65;50;0;0;295;295;0;0;0;0;0;0;105;25;0;0;0;0;0;0;0;0;0;0;230;135;0;0;0;0;0;0;55;50;0;0;75;30;0;0;0;0;0;0;55;5;0;0;0;0;0;0
808264;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
808279;480;480;0;0;80;65;0;0;20;10;0;0;490;490;0;0;0;0;0;0;55;55;0;0;0;0;0;0;0;0;0;0;110;105;0;0;0;0;0;0;65;65;0;0;105;75;0;0;15;0;0;0;20;15;0;0;0;0;0;0
808337;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
808410;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
808432;480;480;0;0;100;70;0;0;20;0;0;0;540;540;0;0;0;0;0;0;60;10;0;0;0;0;0;0;0;0;0;0;20;20;0;0;0;0;0;0;0;0;0;0;140;140;0;0;80;0;0;0;0;0;0;0;0;0;0;0
808471;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
808712;500;500;0;0;30;0;0;30;20;0;0;20;0;0;0;0;90;0;0;0;210;0;0;200;0;0;0;0;0;0;0;0;90;0;0;90;40;0;0;40;150;0;0;0;140;0;0;0;140;0;0;100;30;0;0;0;40;0;0;40
808758;470;470;0;0;90;50;0;0;50;0;0;0;415;400;0;0;0;0;0;0;30;0;0;0;0;0;0;0;0;0;0;0;30;0;0;0;30;0;0;0;70;0;0;0;170;0;0;0;85;0;0;0;0;0;0;0;0;0;0;0
808798;290;0;0;0;40;30;0;0;0;0;0;0;520;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
808843;520;0;0;0;110;70;0;0;30;0;0;0;0;0;0;0;0;0;0;0;250;90;0;0;0;0;0;0;70;0;0;50;85;85;0;0;0;0;0;0;80;0;0;0;145;95;0;0;150;110;0;0;0;0;0;0;10;10;0;0
808923;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
808972;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
808975;460;460;0;0;120;120;0;0;70;30;0;0;480;480;0;0;0;0;0;0;20;0;0;0;0;0;0;0;0;0;0;0;30;30;0;0;0;0;0;0;0;0;0;0;200;200;0;0;60;0;0;0;0;0;0;0;0;0;0;0
809014;550;550;0;0;80;70;0;0;30;0;0;0;520;520;0;0;0;0;0;0;30;0;0;0;0;0;0;0;0;0;0;0;20;20;0;0;70;70;0;0;30;0;0;0;50;30;0;0;60;0;0;0;0;0;0;0;0;0;0;0
809054;480;450;0;0;70;45;0;0;20;20;0;0;0;0;0;0;445;445;0;0;0;0;0;0;0;0;0;0;0;0;0;0;130;35;0;0;0;0;0;0;0;0;0;0;20;0;0;0;275;15;0;0;0;0;0;0;0;0;0;0
809109;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
809274;400;400;0;0;185;160;0;0;35;0;0;0;250;250;0;0;0;0;0;0;270;60;0;0;0;0;0;0;0;0;0;0;20;20;0;0;0;0;0;0;190;190;0;0;20;20;0;0;70;0;0;0;0;0;0;0;0;0;0;0
809378;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
809396;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
809478;430;420;0;0;65;65;0;0;40;30;0;0;630;630;0;0;0;0;0;0;40;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;60;10;0;0;125;70;0;0;40;0;0;0;0;0;0;0;0;0;0;0
809481;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
809530;440;440;0;0;125;90;0;0;50;0;0;0;300;300;0;0;60;60;0;0;35;20;0;0;0;0;0;0;0;0;0;0;60;60;0;0;0;0;0;0;205;0;0;0;35;20;0;0;130;0;0;0;0;0;0;0;0;0;0;0
809622;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
809747;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
809796;410;410;0;0;75;75;0;0;30;0;0;0;110;100;0;0;500;380;0;0;20;0;0;0;0;0;0;0;0;0;0;0;5;5;0;0;0;0;0;0;90;30;0;0;10;0;0;0;180;20;0;0;10;10;0;0;0;0;0;0
809808;340;150;0;0;60;60;0;0;255;0;0;0;0;0;0;0;0;0;0;0;190;190;0;0;0;0;0;0;0;0;0;0;155;0;0;0;80;80;0;0;120;120;0;0;50;50;0;0;190;0;0;0;0;0;0;0;0;0;0;0
